Proprietary Name	NDC Package Code	Strength	Dosage Form	Route	Appl. No.	Labeler Name	Product NDC	Nonproprietary Name	Substance Name	Product Type Name	Start Marketing Date	End Marketing Date	Market Category	Package Description	Pharm Class	DEA	Sample Package	Listing Record Certified Through:
phendimetrazine tartrate	46672-138-11	35 mg/1	TABLET	ORAL	ANDA089452	"Mikart, LLC"	46672-138	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	07/05/2000	N/A	ANDA	1000 TABLET in 1 BOTTLE (46672-138-11)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
Phendimetrazine Tartrate	0185-4057-01	35 mg/1	TABLET	ORAL	ANDA085588	"Eon Labs, Inc."	0185-4057	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	08/19/1977	01/31/2024	ANDA	100 TABLET in 1 BOTTLE (0185-4057-01)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	N/A
Phendimetrazine Tartrate	0185-4057-10	35 mg/1	TABLET	ORAL	ANDA085588	"Eon Labs, Inc."	0185-4057	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	08/19/1977	01/31/2024	ANDA	1000 TABLET in 1 BOTTLE (0185-4057-10)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	N/A
Phendimetrazine Tartrate	0185-5254-01	105 mg/1	"CAPSULE, EXTENDED RELEASE"	ORAL	NDA018074	"Eon Labs, Inc."	0185-5254	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	09/06/1977	11/30/2022	NDA	"100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0185-5254-01)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	N/A
Phendimetrazine Tartrate	0185-5254-10	105 mg/1	"CAPSULE, EXTENDED RELEASE"	ORAL	NDA018074	"Eon Labs, Inc."	0185-5254	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	09/06/1977	11/30/2022	NDA	"1000 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0185-5254-10)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	N/A
Phendimetrazine Tartrate	71335-0074-2	35 mg/1	TABLET	ORAL	ANDA091042	Bryant Ranch Prepack	71335-0074	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	09/15/2010	N/A	ANDA	135 TABLET in 1 BOTTLE (71335-0074-2)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
PHENDIMETRAZINE TARTRATE	17224-501-10	35 mg/1	TABLET	ORAL	ANDA085588	"CALVIN, SCOTT AND COMPANY, INCORPORATED"	17224-501	PHENDIMETRAZINE TARTRATE	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	07/01/2018	N/A	ANDA	28 TABLET in 1 BOTTLE (17224-501-10)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
PHENDIMETRAZINE TARTRATE	69543-409-10	105 mg/1	"CAPSULE, EXTENDED RELEASE"	ORAL	NDA018074	"Virtus Pharmaceuticals, LLC"	69543-409	PHENDIMETRAZINE TARTRATE	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	07/01/2018	N/A	NDA	"100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (69543-409-10)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
PHENDIMETRAZINE TARTRATE	69543-410-11	35 mg/1	TABLET	ORAL	ANDA085588	"Virtus Pharmaceuticals, LLC"	69543-410	PHENDIMETRAZINE TARTRATE	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	07/01/2018	N/A	ANDA	1000 TABLET in 1 BOTTLE (69543-410-11)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
PHENDIMETRAZINE TARTRATE	69543-409-11	105 mg/1	"CAPSULE, EXTENDED RELEASE"	ORAL	NDA018074	"Virtus Pharmaceuticals, LLC"	69543-409	PHENDIMETRAZINE TARTRATE	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	07/01/2018	N/A	NDA	"1000 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (69543-409-11)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
Phendimetrazine Tartrate	43063-510-07	35 mg/1	TABLET	ORAL	ANDA091042	"PD-Rx Pharmaceuticals, Inc."	43063-510	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	09/15/2010	N/A	ANDA	"7 TABLET in 1 BOTTLE, PLASTIC (43063-510-07)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
Phendimetrazine Tartrate	43063-510-88	35 mg/1	TABLET	ORAL	ANDA091042	"PD-Rx Pharmaceuticals, Inc."	43063-510	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	09/15/2010	N/A	ANDA	"112 TABLET in 1 BOTTLE, PLASTIC (43063-510-88)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
Phendimetrazine Tartrate	68071-3040-8	105 mg/1	"CAPSULE, EXTENDED RELEASE"	ORAL	NDA018074	"NuCare Pharmaceuticals, Inc."	68071-3040	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	09/06/1977	N/A	NDA	"28 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (68071-3040-8)"	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
Phendimetrazine Tartrate	71335-0324-0	35 mg/1	TABLET	ORAL	ANDA091042	Bryant Ranch Prepack	71335-0324	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	09/15/2010	N/A	ANDA	120 TABLET in 1 BOTTLE (71335-0324-0)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
Phendimetrazine Tartrate	71335-0074-0	35 mg/1	TABLET	ORAL	ANDA091042	Bryant Ranch Prepack	71335-0074	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	09/15/2010	N/A	ANDA	120 TABLET in 1 BOTTLE (71335-0074-0)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
Phendimetrazine Tartrate	71335-0074-5	35 mg/1	TABLET	ORAL	ANDA091042	Bryant Ranch Prepack	71335-0074	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	09/15/2010	N/A	ANDA	90 TABLET in 1 BOTTLE (71335-0074-5)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
phendimetrazine tartrate	12634-028-00	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	10 TABLET in 1 BOTTLE (12634-028-00)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-01	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	100 TABLET in 1 BOTTLE (12634-028-01)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-09	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	35 TABLET in 1 BOTTLE (12634-028-09)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-40	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	40 TABLET in 1 BOTTLE (12634-028-40)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-42	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	42 TABLET in 1 BOTTLE (12634-028-42)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-45	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	45 TABLET in 1 BOTTLE (12634-028-45)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-50	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	50 TABLET in 1 BOTTLE (12634-028-50)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-52	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	12 TABLET in 1 BLISTER PACK (12634-028-52)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-54	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	14 TABLET in 1 BLISTER PACK (12634-028-54)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-57	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	20 TABLET in 1 BLISTER PACK (12634-028-57)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-58	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	28 TABLET in 1 BLISTER PACK (12634-028-58)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-59	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	30 TABLET in 1 BLISTER PACK (12634-028-59)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-60	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	60 TABLET in 1 BOTTLE (12634-028-60)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-61	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	10 TABLET in 1 BLISTER PACK (12634-028-61)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-63	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	3 TABLET in 1 BLISTER PACK (12634-028-63)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-66	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	6 TABLET in 1 BLISTER PACK (12634-028-66)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-67	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	7 TABLET in 1 BLISTER PACK (12634-028-67)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-69	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	9 TABLET in 1 BLISTER PACK (12634-028-69)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-71	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	30 TABLET in 1 BOTTLE (12634-028-71)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-74	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	24 TABLET in 1 BOTTLE (12634-028-74)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-78	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	28 TABLET in 1 BOTTLE (12634-028-78)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-79	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	25 TABLET in 1 BOTTLE (12634-028-79)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-80	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	20 TABLET in 1 BOTTLE (12634-028-80)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-81	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	21 TABLET in 1 BOTTLE (12634-028-81)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-82	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	12 TABLET in 1 BOTTLE (12634-028-82)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-84	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	14 TABLET in 1 BOTTLE (12634-028-84)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-85	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	15 TABLET in 1 BOTTLE (12634-028-85)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-90	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	90 TABLET in 1 BOTTLE (12634-028-90)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-91	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	1 TABLET in 1 BLISTER PACK (12634-028-91)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-92	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	2 TABLET in 1 BOTTLE (12634-028-92)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-93	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	3 TABLET in 1 BOTTLE (12634-028-93)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-94	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	4 TABLET in 1 BOTTLE (12634-028-94)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-95	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	5 TABLET in 1 BOTTLE (12634-028-95)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-96	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	6 TABLET in 1 BOTTLE (12634-028-96)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-97	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	7 TABLET in 1 BOTTLE (12634-028-97)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-98	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	8 TABLET in 1 BOTTLE (12634-028-98)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-028-99	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-028	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	06/27/2000	N/A	ANDA	9 TABLET in 1 BOTTLE (12634-028-99)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
Phendimetrazine Tartrate	68788-7236-1	35 mg/1	TABLET	ORAL	ANDA091042	Preferred Pharmaceuticals Inc.	68788-7236	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	08/13/2018	N/A	ANDA	14 TABLET in 1 BOTTLE (68788-7236-1)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
Phendimetrazine Tartrate	68788-7236-2	35 mg/1	TABLET	ORAL	ANDA091042	Preferred Pharmaceuticals Inc.	68788-7236	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	08/13/2018	N/A	ANDA	28 TABLET in 1 BOTTLE (68788-7236-2)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2021
PHENDIMETRAZINE TARTRATE	64850-440-01	35 mg/1	TABLET	ORAL	ANDA040762	"Elite Laboratories, Inc"	64850-440	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	11/20/2012	N/A	ANDA	100 TABLET in 1 BOTTLE (64850-440-01)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
PHENDIMETRAZINE TARTRATE	64850-440-10	35 mg/1	TABLET	ORAL	ANDA040762	"Elite Laboratories, Inc"	64850-440	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	11/20/2012	N/A	ANDA	1000 TABLET in 1 BOTTLE (64850-440-10)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
PHENDIMETRAZINE TARTRATE	68462-561-10	35 mg/1	TABLET	ORAL	ANDA040762	"Glenmark Pharmaceuticals Inc.,USA"	68462-561	Phendimetrazine Tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	11/20/2012	N/A	ANDA	1000 TABLET in 1 BOTTLE (68462-561-10)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-539-00	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-539	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	07/05/2000	N/A	ANDA	10 TABLET in 1 BOTTLE (12634-539-00)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-539-01	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-539	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	07/05/2000	N/A	ANDA	100 TABLET in 1 BOTTLE (12634-539-01)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-539-09	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-539	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	07/05/2000	N/A	ANDA	35 TABLET in 1 BOTTLE (12634-539-09)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
phendimetrazine tartrate	12634-539-40	35 mg/1	TABLET	ORAL	ANDA089452	Apotheca Inc.	12634-539	phendimetrazine tartrate	PHENDIMETRAZINE TARTRATE	HUMAN PRESCRIPTION DRUG	07/05/2000	N/A	ANDA	40 TABLET in 1 BOTTLE (12634-539-40)	"Appetite Suppression [PE], Increased Sympathetic Activity [PE], Sympathomimetic Amine Anorectic [EPC]"	CIII	No	12/31/2020
